Subject,Item,Time,Prime,Target
33,16,267,Negative,Positive
33,20,684,Negative,Positive
33,24,483,Negative,Positive
33,28,534,Negative,Positive
33,32,267,Negative,Positive
33,2,183,Positive,Negative
33,6,440,Positive,Negative
33,10,305,Positive,Negative
33,14,327,Positive,Negative
33,18,296,Positive,Negative
33,22,301,Positive,Negative
33,26,,Positive,Negative
33,30,199,Positive,Negative
33,1,629,Positive,Positive
33,5,659,Positive,Positive
33,9,426,Positive,Positive
33,13,221,Positive,Positive
33,17,372,Positive,Positive
33,21,281,Positive,Positive
33,25,264,Positive,Positive
33,29,425,Positive,Positive
34,3,426,Negative,Negative
34,7,294,Negative,Negative
34,11,503,Negative,Negative
34,15,351,Negative,Negative
34,19,400,Negative,Negative
34,23,263,Negative,Negative
34,27,327,Negative,Negative
34,31,170,Negative,Negative
34,4,268,Negative,Positive
34,8,291,Negative,Positive
34,12,438,Negative,Positive
34,16,406,Negative,Positive
34,20,121,Negative,Positive
34,24,201,Negative,Positive
34,28,721,Negative,Positive
34,32,429,Negative,Positive
34,2,624,Positive,Negative
34,6,298,Positive,Negative
34,10,489,Positive,Negative
34,14,355,Positive,Negative
34,18,562,Positive,Negative
34,22,288,Positive,Negative
34,26,511,Positive,Negative
34,30,332,Positive,Negative
34,1,443,Positive,Positive
34,5,963,Positive,Positive
34,9,330,Positive,Positive
34,13,158,Positive,Positive
34,17,345,Positive,Positive
34,21,,Positive,Positive
34,25,357,Positive,Positive
34,29,253,Positive,Positive
35,4,,Negative,Negative
35,8,,Negative,Negative
35,12,271,Negative,Negative
35,16,,Negative,Negative
35,20,189,Negative,Negative
35,24,367,Negative,Negative
35,28,236,Negative,Negative
35,32,,Negative,Negative
35,1,193,Negative,Positive
35,5,160,Negative,Positive
35,9,,Negative,Positive
35,13,257,Negative,Positive
35,17,,Negative,Positive
35,21,508,Negative,Positive
35,25,234,Negative,Positive
35,29,313,Negative,Positive
35,3,664,Positive,Negative
35,7,,Positive,Negative
35,11,470,Positive,Negative
35,15,,Positive,Negative
35,19,,Positive,Negative
35,23,167,Positive,Negative
35,27,,Positive,Negative
35,31,334,Positive,Negative
35,2,,Positive,Positive
35,6,,Positive,Positive
35,10,,Positive,Positive
35,14,,Positive,Positive
35,18,319,Positive,Positive
35,22,278,Positive,Positive
35,26,,Positive,Positive
35,30,,Positive,Positive
36,4,380,Negative,Negative
36,8,292,Negative,Negative
36,12,,Negative,Negative
36,16,151,Negative,Negative
36,20,182,Negative,Negative
36,24,122,Negative,Negative
36,28,793,Negative,Negative
36,32,230,Negative,Negative
36,1,249,Negative,Positive
36,5,588,Negative,Positive
36,9,,Negative,Positive
36,13,160,Negative,Positive
36,17,371,Negative,Positive
36,21,215,Negative,Positive
36,25,347,Negative,Positive
36,29,648,Negative,Positive
36,3,254,Positive,Negative
36,7,277,Positive,Negative
36,11,446,Positive,Negative
36,15,498,Positive,Negative
36,19,,Positive,Negative
36,23,744,Positive,Negative
36,27,193,Positive,Negative
36,31,128,Positive,Negative
36,2,377,Positive,Positive
36,6,195,Positive,Positive
36,10,216,Positive,Positive
36,14,,Positive,Positive
36,18,314,Positive,Positive
36,22,165,Positive,Positive
36,26,,Positive,Positive
36,30,395,Positive,Positive
37,1,239,Negative,Negative
37,5,,Negative,Negative
37,9,414,Negative,Negative
37,13,207,Negative,Negative
37,17,,Negative,Negative
37,21,249,Negative,Negative
37,25,1025,Negative,Negative
37,29,277,Negative,Negative
37,2,256,Negative,Positive
37,6,687,Negative,Positive
37,10,398,Negative,Positive
37,14,514,Negative,Positive
37,18,678,Negative,Positive
37,22,547,Negative,Positive
37,26,379,Negative,Positive
37,30,406,Negative,Positive
37,4,321,Positive,Negative
37,8,290,Positive,Negative
37,12,648,Positive,Negative
37,16,280,Positive,Negative
37,20,175,Positive,Negative
37,24,369,Positive,Negative
37,28,275,Positive,Negative
37,32,,Positive,Negative
37,3,268,Positive,Positive
37,7,391,Positive,Positive
37,11,297,Positive,Positive
37,15,407,Positive,Positive
37,19,219,Positive,Positive
37,23,438,Positive,Positive
37,27,219,Positive,Positive
37,31,360,Positive,Positive
38,1,170,Negative,Negative
38,5,335,Negative,Negative
38,9,162,Negative,Negative
38,13,273,Negative,Negative
38,17,175,Negative,Negative
38,21,187,Negative,Negative
38,25,410,Negative,Negative
38,29,646,Negative,Negative
38,2,,Negative,Positive
38,6,178,Negative,Positive
38,10,,Negative,Positive
38,14,131,Negative,Positive
38,18,316,Negative,Positive
38,22,328,Negative,Positive
38,26,144,Negative,Positive
38,30,351,Negative,Positive
38,4,190,Positive,Negative
38,8,458,Positive,Negative
38,12,414,Positive,Negative
38,16,175,Positive,Negative
38,20,192,Positive,Negative
38,24,308,Positive,Negative
38,28,445,Positive,Negative
38,32,162,Positive,Negative
38,3,,Positive,Positive
38,7,242,Positive,Positive
38,11,,Positive,Positive
38,15,191,Positive,Positive
38,19,342,Positive,Positive
38,23,,Positive,Positive
38,27,342,Positive,Positive
38,31,,Positive,Positive
39,2,266,Negative,Negative
39,6,483,Negative,Negative
39,10,348,Negative,Negative
39,14,247,Negative,Negative
39,18,350,Negative,Negative
39,22,471,Negative,Negative
39,26,276,Negative,Negative
39,30,587,Negative,Negative
39,3,515,Negative,Positive
39,7,330,Negative,Positive
39,11,346,Negative,Positive
39,15,495,Negative,Positive
39,19,272,Negative,Positive
39,23,387,Negative,Positive
39,27,591,Negative,Positive
39,31,679,Negative,Positive
39,1,428,Positive,Negative
39,5,690,Positive,Negative
39,9,461,Positive,Negative
39,13,,Positive,Negative
39,17,224,Positive,Negative
39,21,321,Positive,Negative
39,25,408,Positive,Negative
39,29,227,Positive,Negative
39,4,354,Positive,Positive
39,8,456,Positive,Positive
39,12,400,Positive,Positive
39,16,303,Positive,Positive
39,20,177,Positive,Positive
39,24,206,Positive,Positive
39,28,253,Positive,Positive
39,32,235,Positive,Positive
40,2,,Negative,Negative
40,6,500,Negative,Negative
40,10,319,Negative,Negative
40,14,138,Negative,Negative
40,18,400,Negative,Negative
40,22,261,Negative,Negative
40,26,286,Negative,Negative
40,30,124,Negative,Negative
40,3,306,Negative,Positive
40,7,644,Negative,Positive
40,11,793,Negative,Positive
40,15,149,Negative,Positive
40,19,372,Negative,Positive
40,23,324,Negative,Positive
40,27,,Negative,Positive
40,31,370,Negative,Positive
40,1,232,Positive,Negative
40,5,343,Positive,Negative
40,9,287,Positive,Negative
40,13,610,Positive,Negative
40,17,,Positive,Negative
40,21,132,Positive,Negative
40,25,304,Positive,Negative
40,29,372,Positive,Negative
40,4,587,Positive,Positive
40,8,471,Positive,Positive
40,12,337,Positive,Positive
40,16,427,Positive,Positive
40,20,151,Positive,Positive
40,24,282,Positive,Positive
40,28,421,Positive,Positive
40,32,169,Positive,Positive
