id,wm,iq,comp
1665,49,83,22
1666,41,118,27
1667,45,102,20
1668,54,107,19
1669,44,94,21
1670,46,102,20
1671,46,103,21
1672,56,79,18
1673,49,77,20
1674,52,109,20
1675,53,100,19
1676,48,64,19
1677,44,90,18
1678,50,99,19
1679,48,87,21
1680,57,88,20
1681,47,89,25
1682,48,78,21
1683,53,121,23
1684,46,103,20
1685,49,88,17
1686,52,70,23
1687,47,88,16
1688,43,104,18
1689,51,108,22
1690,48,108,18
1691,39,94,17
1692,51,97,17
1693,50,97,18
1694,41,103,22
1695,47,102,19
1696,49,105,19
1697,47,68,19
1698,52,141,21
1699,42,94,19
1700,45,100,21
1701,47,100,20
1702,57,105,16
1703,49,97,18
1704,44,92,22
1705,57,97,20
1706,48,109,20
1707,52,92,22
1708,55,101,19
1709,52,100,18
1710,56,90,22
1711,46,99,22
1712,57,107,25
1713,40,104,18
1714,45,108,18
1715,47,94,20
1716,51,98,17
1717,47,120,22
1718,52,133,19
1719,52,97,17
1720,53,113,22
1721,57,76,15
1722,42,100,18
1723,54,124,19
1724,48,87,17
1725,45,106,19
1726,41,86,18
1727,45,91,22
1728,48,132,20
1729,40,111,22
1730,48,100,20
1731,52,108,23
1732,43,101,22
1733,49,95,19
1734,43,59,21
1735,49,111,20
1736,54,109,20
1737,39,61,17
1738,61,107,18
1739,44,104,21
1740,54,107,21
1741,60,89,23
1742,45,99,18
1743,46,113,21
1744,55,85,20
1745,45,111,20
1746,45,106,19
1747,57,78,18
1748,58,105,19
1749,48,92,18
1750,61,109,19
1751,59,95,20
1752,49,94,21
1753,45,125,17
1754,46,84,18
1755,57,89,19
1756,52,131,21
1757,53,101,19
1758,49,72,20
1759,50,123,21
1760,47,106,22
1761,55,104,15
1762,48,91,22
1763,59,87,20
1764,52,125,18
1765,54,143,18
1766,57,94,19
1767,49,112,20
1768,41,112,18
1769,46,90,16
1770,52,99,18
1771,56,111,20
1772,51,113,21
1773,54,93,20
1774,54,117,17
1775,55,79,18
1776,53,103,19
1777,49,110,23
1778,55,109,20
1779,47,96,21
1780,51,97,19
1781,47,101,19
1782,52,84,22
1783,52,107,21
1784,49,126,23
1785,50,99,20
1786,52,91,20
1787,44,106,21
1788,55,86,17
1789,51,76,19
1790,52,104,21
1791,49,103,21
1792,40,134,21
1793,53,82,20
1794,48,106,18
1795,53,82,20
1796,60,119,17
1797,44,96,18
1798,56,105,19
1799,48,88,21
1800,49,106,22
1801,47,100,19
1802,47,88,18
1803,44,84,23
1804,50,107,17
1805,52,109,19
1806,49,113,21
1807,41,111,19
1808,47,80,20
1809,52,82,22
1810,46,120,20
1811,47,104,20
1812,44,87,18
1813,52,95,18
1814,46,100,17
1815,65,112,16
1816,55,100,17
1817,49,90,20
1818,50,72,20
1819,46,107,24
1820,51,93,23
1821,50,59,16
1822,41,91,18
1823,40,78,18
1824,53,109,18
1825,38,82,20
1826,48,98,19
1827,58,106,20
1828,41,97,19
1829,51,100,20
1830,57,94,21
1831,52,93,25
1832,56,92,17
1833,45,111,17
1834,53,92,21
1835,50,125,22
1836,56,85,20
1837,62,98,18
1838,50,106,18
1839,55,101,21
1840,47,103,17
1841,48,127,20
1842,47,79,19
1843,43,80,23
1844,50,96,20
1845,49,79,22
1846,53,135,19
1847,48,99,21
1848,45,72,20
1849,49,98,20
1850,59,104,19
1851,52,90,19
1852,51,93,19
1853,55,100,22
1854,58,119,26
1855,58,62,17
1856,47,120,24
1857,49,110,18
1858,48,102,18
1859,48,103,21
1860,52,98,19
1861,47,91,18
1862,44,112,18
1863,48,69,21
1864,57,111,19
1865,59,120,23
1866,47,103,21
1867,54,100,21
1868,49,128,21
1869,49,119,19
1870,46,112,19
1871,42,91,18
1872,59,119,18
1873,54,111,19
1874,41,108,21
1875,48,106,18
1876,57,106,22
1877,50,124,20
1878,50,95,20
1879,54,105,23
1880,54,92,19
1881,53,98,19
1882,52,83,21
1883,57,114,19
1884,58,89,20
1885,51,86,20
1886,48,92,18
1887,50,86,19
1888,51,117,20
1889,46,119,21
1890,53,110,19
1891,43,95,19
1892,61,117,20
1893,37,95,21
1894,50,85,25
1895,49,90,22
1896,52,99,21
1897,47,91,20
1898,62,102,14
1899,49,90,20
1900,50,79,22
1901,55,125,19
1902,53,79,18
1903,50,108,21
1904,49,110,20
1905,48,117,17
1906,43,113,19
1907,53,86,20
1908,52,109,19
1909,44,138,21
1910,49,124,17
1911,56,75,19
1912,56,116,20
1913,43,112,17
1914,54,89,17
1915,50,84,19
1916,51,93,20
1917,45,113,19
1918,48,91,23
1919,39,106,20
1920,46,93,16
1921,48,118,22
1922,56,117,22
1923,44,101,19
1924,51,134,16
1925,50,69,19
1926,43,89,23
1927,51,107,21
1928,57,92,20
1929,54,93,21
1930,55,100,22
1931,48,90,24
1932,54,129,20
1933,38,89,20
1934,43,98,19
1935,49,79,18
1936,50,75,20
1937,52,103,24
1938,53,118,22
1939,47,108,20
1940,47,105,20
1941,48,94,15
1942,47,77,18
1943,49,84,18
1944,54,110,19
1945,52,131,20
1946,47,88,17
1947,46,109,22
1948,49,112,17
1949,48,87,21
1950,56,102,22
1951,38,93,18
1952,45,84,17
1953,53,112,14
1954,53,115,17
1955,46,89,20
1956,48,109,19
1957,58,102,17
1958,44,100,20
1959,58,112,17
1960,51,77,19
1961,55,100,21
1962,47,100,20
1963,44,107,20
1964,51,117,15
1965,52,100,18
1966,47,103,20
1967,45,92,20
1968,56,74,19
1969,43,78,21
1970,57,101,20
1971,47,91,20
1972,40,113,21
1973,60,76,16
1974,51,105,20
1975,44,99,21
1976,48,115,18
1977,46,96,17
1978,51,106,17
1979,50,99,15
1980,43,104,18
1981,51,74,15
1982,46,99,17
1983,53,116,22
1984,53,90,17
1985,49,116,22
1986,46,136,22
1987,47,108,20
1988,44,84,17
1989,54,94,20
1990,56,101,19
1991,50,92,21
1992,51,83,17
1993,48,134,18
1994,51,86,20
1995,59,84,18
1996,51,107,19
1997,56,102,21
1998,51,74,19
1999,43,95,20
2000,44,113,21
2001,45,103,18
2002,49,84,16
2003,49,94,18
2004,55,92,21
2005,41,103,18
2006,44,110,19
2007,41,75,22
2008,52,112,21
2009,47,81,18
2010,40,93,22
2011,45,111,20
2012,45,96,17
2013,51,94,15
2014,52,100,21
2015,43,111,21
2016,55,98,19
2017,52,82,19
2018,51,85,21
2019,51,103,18
2020,52,111,20
2021,54,92,22
2022,47,135,19
2023,50,93,20
2024,63,113,18
2025,44,103,21
2026,51,127,17
2027,42,80,15
2028,51,102,18
2029,54,104,15
2030,38,96,20
2031,47,105,16
2032,61,98,22
2033,46,84,20
2034,42,71,16
2035,52,107,18
2036,46,106,22
2037,57,84,18
2038,55,83,15
2039,53,103,23
2040,42,116,22
2041,51,72,20
2042,51,111,19
2043,39,92,20
2044,53,102,16
2045,51,103,19
2046,44,94,17
2047,48,94,18
2048,60,86,19
2049,53,126,22
2050,43,121,19
2051,50,111,21
2052,58,89,18
2053,50,97,16
2054,47,94,18
2055,55,72,21
2056,47,93,19
2057,48,94,21
2058,54,128,19
2059,58,75,17
2060,45,85,19
2061,48,93,17
2062,49,119,21
2063,54,88,22
2064,57,96,21
2065,58,134,24
2066,48,85,19
2067,54,103,22
2068,45,73,20
2069,47,100,19
2070,44,124,16
2071,44,78,19
2072,52,107,19
2073,53,93,22
2074,51,118,20
2075,46,90,21
2076,51,85,19
2077,43,93,20
2078,41,111,20
2079,47,83,19
2080,47,122,18
2081,45,107,21
2082,39,91,19
2083,47,86,21
2084,52,112,25
2085,53,62,20
2086,57,119,20
2087,50,110,17
2088,61,87,22
2089,52,91,24
2090,49,105,20
2091,40,107,20
2092,62,87,20
2093,57,82,22
2094,53,97,19
2095,55,115,16
2096,55,107,22
2097,54,92,21
2098,54,115,20
2099,55,96,17
2100,46,71,22
2101,48,101,15
2102,50,131,18
2103,45,104,20
2104,60,107,22
2105,43,130,21
2106,50,113,21
2107,46,117,17
2108,50,117,20
2109,50,107,18
2110,49,108,20
2111,34,114,23
2112,37,87,23
2113,53,97,22
2114,45,130,21
2115,50,97,19
2116,54,76,20
2117,49,88,20
2118,46,117,19
2119,48,67,17
2120,58,122,20
2121,57,81,20
2122,59,116,22
2123,57,72,24
2124,42,67,23
2125,40,130,17
2126,50,97,19
2127,49,92,19
2128,42,117,17
2129,40,97,19
2130,56,104,20
2131,58,95,22
2132,51,95,22
2133,50,83,17
2134,49,99,22
2135,47,103,19
2136,43,105,23
2137,48,81,21
2138,44,111,19
2139,50,88,21
2140,53,81,26
2141,48,75,18
2142,57,124,20
2143,58,92,22
2144,56,119,18
2145,42,89,20
2146,42,75,18
2147,50,69,18
2148,50,101,18
2149,53,111,18
2150,42,89,19
2151,48,101,20
2152,51,84,20
2153,41,92,17
2154,50,134,18
2155,59,71,18
2156,42,114,19
2157,56,105,21
2158,55,87,17
2159,55,112,20
2160,57,84,19
2161,50,74,20
2162,51,97,20
2163,45,118,20
2164,52,105,20
2165,56,103,23
2166,50,108,22
2167,55,106,21
2168,56,119,22
2169,43,102,22
2170,51,70,22
2171,47,96,18
2172,49,104,21
2173,49,88,21
2174,44,68,19
2175,54,89,18
2176,45,117,18
2177,52,97,20
2178,41,94,21
2179,48,100,20
2180,48,101,20
2181,46,84,18
2182,49,94,16
2183,55,125,23
2184,52,99,19
2185,46,89,16
2186,48,87,21
2187,49,85,24
2188,48,96,19
2189,49,99,19
2190,48,78,18
2191,60,100,24
2192,51,114,15
2193,52,92,15
2194,47,89,19
2195,51,137,20
2196,51,94,22
2197,51,72,16
2198,50,86,18
2199,59,98,21
2200,40,122,21
2201,52,97,20
2202,52,83,23
2203,46,116,18
2204,50,102,18
2205,45,90,17
2206,46,114,21
2207,38,79,17
2208,56,72,14
2209,47,91,17
2210,53,88,20
2211,48,108,17
2212,60,132,19
2213,51,110,19
2214,61,96,24
2215,50,108,21
2216,57,110,19
2217,50,120,20
2218,51,85,21
2219,48,132,17
2220,50,98,20
2221,53,103,19
2222,52,100,20
2223,41,98,20
2224,56,114,17
2225,46,102,17
2226,54,97,18
2227,49,74,21
2228,50,84,20
2229,52,94,21
2230,45,100,17
2231,49,109,23
2232,46,126,19
2233,53,117,17
2234,51,89,18
2235,42,108,19
2236,48,100,19
2237,47,95,18
2238,46,102,19
2239,50,80,20
2240,40,87,16
2241,59,90,23
2242,52,93,23
2243,40,87,17
2244,45,123,21
2245,51,106,20
2246,38,96,17
2247,47,96,21
2248,49,76,19
2249,56,77,18
2250,58,98,24
2251,56,103,23
2252,57,117,20
2253,47,78,18
2254,55,92,21
2255,50,85,22
2256,59,92,18
2257,51,99,20
2258,53,102,21
2259,51,105,18
2260,54,99,22
2261,51,121,20
2262,47,104,19
2263,50,122,21
2264,64,84,17
2265,44,102,18
2266,52,115,19
2267,52,113,17
2268,55,128,23
2269,38,124,21
2270,43,95,22
2271,50,115,17
2272,45,79,19
2273,47,114,18
2274,53,108,20
2275,49,93,18
2276,46,102,13
2277,48,93,19
2278,58,110,22
2279,58,80,23
2280,47,134,17
2281,57,92,18
2282,53,85,21
2283,54,86,22
2284,45,115,15
2285,42,110,18
2286,56,97,20
2287,46,100,20
2288,46,94,21
2289,51,87,21
2290,41,78,21
2291,52,92,18
2292,56,111,20
2293,49,78,21
2294,41,85,19
2295,47,117,19
2296,47,91,23
2297,55,124,17
2298,55,100,19
2299,51,86,21
2300,48,90,21
2301,49,97,21
2302,53,88,16
2303,54,86,24
2304,58,89,18
2305,43,121,19
2306,51,88,19
2307,51,105,19
2308,41,94,22
2309,48,101,18
2310,47,102,19
2311,44,109,20
2312,51,103,20
2313,38,88,20
2314,55,88,18
2315,57,102,21
2316,56,93,23
2317,54,107,21
2318,51,91,21
2319,50,81,23
2320,49,110,16
2321,46,96,19
2322,51,103,18
2323,53,77,18
2324,43,120,20
2325,48,69,18
2326,48,100,18
2327,51,80,21
2328,45,75,19
2329,54,105,23
2330,47,108,21
2331,56,117,19
2332,47,125,19
2333,56,93,19
2334,48,83,21
2335,53,70,19
2336,51,91,23
2337,49,81,25
2338,57,121,20
2339,50,115,22
2340,52,124,19
2341,49,94,17
2342,47,121,24
2343,61,112,16
2344,48,92,17
2345,50,82,18
2346,51,130,21
2347,50,63,19
2348,57,75,19
2349,44,84,20
2350,48,103,22
2351,44,81,20
2352,46,90,19
2353,52,122,18
2354,54,88,18
2355,64,107,18
2356,52,118,20
2357,48,94,20
2358,44,79,16
2359,52,105,17
2360,54,96,18
2361,47,108,17
2362,51,113,19
2363,51,97,17
2364,47,117,18
2365,53,115,22
2366,42,92,22
2367,60,119,21
2368,50,108,16
2369,52,54,19
2370,50,90,19
2371,43,112,21
2372,52,106,15
2373,49,81,20
2374,44,119,15
2375,51,92,14
2376,40,116,17
2377,57,96,19
2378,45,84,15
2379,49,77,18
2380,59,86,22
2381,42,134,21
2382,58,125,19
2383,54,86,20
2384,53,97,17
2385,39,96,19
2386,48,100,18
2387,43,91,20
2388,46,110,21
2389,52,96,22
2390,45,100,21
2391,55,98,18
2392,50,94,19
2393,42,111,18
2394,54,87,22
2395,46,121,20
2396,44,90,17
2397,55,105,24
2398,51,99,19
2399,52,79,20
2400,51,92,19
2401,46,106,19
2402,50,87,20
2403,49,99,15
2404,46,119,17
2405,41,89,20
2406,52,101,21
2407,46,82,24
2408,56,88,19
2409,54,88,20
2410,48,83,21
2411,51,101,21
2412,54,105,19
2413,48,100,22
2414,65,92,17
2415,52,91,19
2416,49,118,18
2417,50,111,19
2418,49,110,17
2419,56,91,20
2420,56,121,22
2421,50,110,17
2422,49,96,21
2423,52,89,21
2424,47,124,18
2425,50,101,16
2426,49,101,21
2427,42,100,23
2428,47,98,20
2429,44,94,20
2430,54,85,20
2431,44,90,21
2432,49,85,19
2433,45,97,22
2434,50,106,18
2435,47,104,19
2436,61,101,20
2437,48,126,19
2438,53,82,19
2439,51,133,18
2440,53,91,20
2441,55,102,21
2442,47,105,21
2443,44,97,21
2444,53,125,21
2445,45,88,18
2446,56,103,19
2447,44,88,20
2448,37,127,20
2449,44,95,16
2450,47,107,21
2451,59,112,21
2452,54,129,21
2453,57,94,20
2454,43,89,22
2455,55,126,17
2456,46,99,20
2457,54,89,19
2458,40,86,21
2459,54,114,23
2460,48,39,20
2461,49,75,18
2462,56,87,18
2463,51,97,20
2464,50,107,19
2465,54,113,23
2466,45,99,20
2467,43,98,19
2468,55,93,20
2469,57,104,24
2470,52,117,19
2471,49,117,18
2472,57,96,17
2473,50,97,21
2474,51,97,23
2475,50,103,21
2476,53,83,23
2477,44,110,21
2478,47,83,19
2479,48,100,21
2480,41,117,21
2481,53,109,23
2482,51,117,20
2483,46,114,19
2484,51,72,19
2485,50,81,20
2486,46,116,20
2487,50,114,21
2488,46,93,20
2489,52,142,20
2490,43,105,19
2491,50,71,22
2492,54,124,15
2493,51,100,19
2494,46,105,18
2495,44,89,22
2496,41,98,23
2497,52,71,18
2498,50,108,19
2499,50,110,20
2500,53,98,20
2501,43,88,22
2502,52,69,20
2503,43,105,20
2504,48,108,21
2505,39,95,19
2506,41,86,17
2507,46,72,20
2508,51,118,18
2509,51,105,18
2510,54,124,19
2511,52,117,20
2512,52,154,18
2513,45,107,18
2514,44,120,22
2515,46,116,19
2516,41,109,22
2517,49,102,18
2518,48,71,21
2519,47,107,20
2520,50,76,21
2521,42,113,18
2522,40,88,20
2523,52,78,21
2524,45,105,19
2525,45,90,20
2526,47,109,20
2527,46,79,24
2528,56,85,19
2529,55,77,21
2530,50,75,27
2531,48,111,22
2532,46,143,21
2533,54,91,20
2534,51,84,17
2535,51,106,21
2536,42,100,18
2537,54,102,22
2538,46,106,22
2539,51,89,21
2540,50,110,21
2541,56,108,21
2542,56,114,19
2543,56,93,20
2544,49,108,17
2545,49,88,17
2546,50,90,20
2547,52,106,20
2548,49,84,19
2549,43,96,21
2550,45,111,21
2551,44,99,19
2552,46,82,22
2553,56,93,19
2554,49,124,20
2555,53,107,21
2556,49,113,15
2557,54,86,20
2558,40,137,20
2559,47,69,21
2560,49,97,23
2561,51,88,17
2562,48,109,20
2563,48,96,21
2564,55,100,23
2565,53,103,18
2566,48,71,20
2567,49,85,17
2568,53,103,20
2569,41,100,20
2570,54,103,18
2571,56,107,22
2572,47,84,19
2573,50,128,17
2574,42,95,19
2575,49,107,19
2576,51,107,19
2577,46,127,18
2578,49,77,17
2579,45,71,17
2580,49,112,21
2581,48,101,21
2582,52,94,20
2583,53,103,18
2584,58,130,20
2585,54,80,20
2586,47,110,17
2587,49,84,22
2588,58,83,22
2589,44,82,18
2590,49,112,22
2591,61,96,20
2592,48,97,21
2593,44,98,19
2594,51,75,21
2595,43,76,18
2596,42,112,20
2597,48,80,19
2598,44,98,19
2599,47,78,17
2600,56,97,21
2601,59,138,21
2602,46,128,19
2603,47,104,14
2604,51,103,18
2605,44,98,19
2606,49,109,19
2607,44,109,22
2608,45,98,15
2609,49,100,21
2610,49,103,19
2611,54,91,20
2612,47,110,18
2613,52,117,23
2614,41,126,20
2615,51,108,22
2616,54,97,19
2617,49,65,22
2618,49,87,23
2619,47,97,20
2620,50,105,21
2621,54,100,18
2622,54,110,17
2623,51,64,16
2624,47,92,17
2625,58,96,22
2626,54,90,21
2627,45,101,16
2628,51,107,18
2629,41,83,19
2630,41,91,19
2631,45,117,19
2632,50,86,21
2633,47,103,22
2634,56,97,19
2635,60,86,21
2636,54,87,18
2637,56,83,18
2638,54,104,17
2639,55,108,19
2640,62,115,19
2641,46,107,22
2642,44,87,18
2643,63,93,19
2644,47,111,23
2645,43,97,21
2646,44,102,20
2647,53,104,16
2648,47,102,20
2649,48,109,20
2650,48,111,19
2651,54,110,15
2652,49,118,22
2653,54,104,19
2654,50,79,15
2655,55,96,23
2656,54,123,19
2657,52,101,21
2658,53,91,21
2659,40,108,16
2660,49,94,19
2661,48,80,18
2662,42,95,17
2663,50,112,20
2664,53,116,22
2665,52,88,20
2666,46,113,16
2667,51,100,21
2668,51,83,20
2669,59,120,19
2670,44,107,22
2671,53,109,21
2672,48,82,18
2673,51,97,20
2674,44,86,19
2675,45,86,19
2676,42,78,18
2677,49,99,19
2678,51,67,21
2679,48,77,18
2680,45,116,22
2681,53,115,20
2682,54,109,22
2683,48,116,20
2684,57,132,18
2685,43,104,20
2686,53,82,19
2687,53,76,15
2688,45,100,20
2689,52,122,18
2690,53,89,18
2691,55,98,18
2692,51,97,20
2693,45,84,18
2694,47,94,22
2695,47,109,19
2696,55,96,21
2697,47,100,21
2698,44,94,19
2699,52,111,19
2700,54,111,22
2701,60,82,19
2702,54,105,18
2703,49,80,21
2704,50,91,22
2705,45,94,21
2706,61,105,20
2707,46,90,18
2708,50,99,20
2709,53,106,17
2710,42,91,19
2711,54,107,18
2712,51,115,22
2713,49,112,16
2714,52,100,20
2715,47,92,18
2716,38,86,18
2717,53,92,19
2718,47,109,22
2719,57,99,18
2720,45,120,17
2721,53,106,18
2722,52,110,16
2723,49,111,23
2724,44,91,21
2725,50,101,21
2726,43,108,18
2727,46,90,21
2728,46,93,21
2729,56,101,24
2730,41,116,17
2731,45,93,19
2732,43,109,20
2733,51,98,17
2734,52,111,21
2735,58,113,22
2736,46,86,17
2737,58,90,20
2738,52,117,22
2739,51,84,16
2740,53,96,21
2741,45,107,18
2742,48,114,18
2743,46,97,19
2744,60,92,19
2745,45,99,21
2746,50,124,17
2747,52,87,22
2748,38,62,18
2749,53,100,18
2750,40,112,18
2751,52,99,21
2752,41,106,25
2753,46,98,18
2754,50,122,19
2755,46,115,18
2756,43,110,19
2757,59,102,21
2758,51,105,18
2759,59,91,21
2760,46,100,21
2761,47,93,16
2762,59,99,23
2763,50,84,21
2764,49,126,19
2765,56,90,22
2766,46,100,19
2767,43,81,19
2768,51,93,18
2769,47,83,21
2770,49,87,20
2771,52,77,20
2772,42,102,20
2773,42,78,19
2774,55,107,21
2775,50,111,20
2776,55,89,18
2777,49,130,19
2778,52,116,18
2779,52,84,15
2780,45,111,16
2781,56,85,21
2782,54,72,20
2783,50,94,19
2784,49,99,21
2785,61,101,21
2786,41,88,19
2787,45,114,20
2788,58,88,20
2789,49,84,18
2790,41,66,20
2791,48,102,19
2792,53,85,18
2793,55,101,18
2794,52,72,23
2795,46,78,19
2796,42,90,18
2797,58,104,21
2798,49,91,22
2799,47,138,20
2800,47,97,17
2801,54,102,18
2802,42,113,18
2803,48,107,21
2804,56,87,19
2805,52,76,18
2806,52,84,22
2807,51,106,16
2808,46,99,19
2809,49,125,21
2810,45,104,20
2811,54,105,19
2812,52,109,19
2813,47,103,17
2814,55,96,19
2815,57,83,21
2816,55,128,20
2817,54,81,17
2818,47,107,20
2819,55,76,18
2820,43,116,21
2821,55,89,20
2822,57,117,20
2823,51,111,25
2824,49,72,20
2825,47,91,20
2826,43,98,21
2827,48,79,17
2828,49,119,22
2829,55,102,21
2830,44,102,21
2831,49,102,20
2832,47,102,16
2833,48,93,20
2834,53,107,19
2835,50,99,17
2836,50,101,22
2837,52,125,22
2838,42,105,21
2839,49,80,20
2840,50,100,19
2841,48,92,24
2842,54,122,22
2843,42,108,19
2844,35,119,22
2845,43,103,21
2846,52,118,19
2847,58,95,22
2848,57,114,21
2849,42,107,19
2850,45,92,17
2851,55,90,22
2852,49,93,23
2853,52,79,19
2854,53,89,21
2855,55,114,22
2856,58,135,17
2857,50,98,22
2858,50,107,20
2859,39,123,19
2860,53,96,17
2861,49,104,20
2862,42,114,19
2863,50,117,21
2864,52,111,19
2865,43,99,18
2866,47,81,22
2867,50,109,25
2868,44,91,17
2869,50,122,21
2870,50,139,22
2871,57,109,20
2872,56,104,21
2873,46,106,19
2874,58,111,20
2875,53,105,18
2876,41,114,20
2877,44,101,18
2878,45,108,18
2879,49,88,18
2880,47,117,21
2881,43,88,19
2882,43,98,18
2883,56,122,18
2884,50,105,14
2885,50,112,18
2886,49,93,20
2887,53,92,19
2888,52,92,19
2889,51,101,18
2890,62,96,19
2891,47,108,24
2892,54,123,21
2893,56,101,17
2894,51,97,20
2895,43,115,21
2896,47,90,22
2897,52,107,21
2898,47,81,21
2899,51,104,16
2900,47,85,19
2901,52,95,22
2902,56,103,20
2903,46,94,17
2904,44,97,18
2905,46,87,25
2906,49,142,21
2907,46,96,22
2908,43,124,23
2909,58,94,18
2910,47,112,15
2911,54,95,20
2912,45,110,21
2913,47,93,20
2914,52,127,18
2915,49,114,20
2916,53,84,19
2917,52,113,19
2918,50,112,17
2919,48,110,22
2920,43,106,21
2921,45,95,20
2922,44,115,19
2923,49,101,16
2924,50,83,19
2925,53,114,21
2926,47,82,23
2927,45,116,21
2928,50,101,20
2929,48,100,24
2930,49,107,18
2931,62,98,20
2932,55,93,19
2933,46,111,18
2934,54,94,18
2935,46,87,20
2936,41,102,20
2937,56,112,19
2938,50,102,18
2939,50,109,19
2940,46,92,21
2941,56,99,20
2942,50,77,17
2943,56,91,19
2944,51,101,18
2945,52,107,21
2946,45,104,14
2947,51,100,21
2948,44,90,20
2949,37,122,22
2950,54,79,18
2951,57,92,17
2952,52,91,20
2953,51,86,17
2954,51,114,21
2955,40,114,21
2956,45,104,19
2957,46,106,19
2958,49,94,22
2959,51,98,18
2960,56,72,20
2961,57,108,22
2962,50,79,20
2963,53,61,24
2964,48,99,15
2965,50,107,24
2966,54,90,18
2967,52,100,21
2968,47,100,19
2969,53,109,18
2970,54,100,20
2971,46,111,20
2972,52,92,19
2973,54,100,18
2974,54,84,19
2975,49,86,18
2976,54,82,18
2977,56,119,19
2978,45,94,18
2979,39,115,19
2980,54,99,19
2981,46,103,21
2982,46,82,18
2983,53,110,20
2984,42,90,20
2985,51,86,18
2986,61,114,20
2987,44,88,18
2988,47,115,20
2989,52,91,21
2990,50,102,20
2991,44,77,20
2992,51,121,18
2993,48,101,18
2994,45,101,19
2995,55,100,22
2996,58,86,19
2997,42,113,17
2998,55,112,19
2999,51,107,17
3000,52,101,20
3001,48,115,17
3002,52,99,19
3003,51,100,18
3004,59,119,18
3005,57,85,20
3006,48,95,16
3007,44,108,21
3008,52,81,17
3009,43,90,22
3010,52,83,20
3011,47,100,20
3012,56,111,19
3013,54,114,19
3014,57,80,17
3015,47,95,20
3016,60,77,19
3017,46,134,22
3018,43,103,21
3019,50,116,23
3020,52,74,15
3021,56,100,20
3022,52,83,20
3023,46,73,17
3024,54,86,21
3025,45,98,18
3026,55,98,19
3027,51,90,22
3028,51,101,20
3029,45,114,15
3030,46,89,20
3031,55,61,17
3032,52,104,19
3033,47,97,22
3034,51,120,19
3035,57,97,21
3036,47,94,18
3037,41,97,17
3038,53,80,22
3039,50,98,22
3040,46,81,18
3041,46,130,17
3042,50,107,20
3043,49,68,22
3044,50,94,18
3045,48,83,21
3046,52,96,22
3047,45,111,21
3048,45,82,18
3049,59,123,16
3050,55,84,20
3051,47,106,20
3052,44,102,18
3053,35,113,21
3054,54,100,20
3055,50,51,19
3056,51,93,20
3057,50,112,20
3058,49,88,16
3059,55,103,19
3060,52,107,20
3061,53,104,18
3062,50,109,20
3063,53,117,19
3064,51,96,20
3065,51,108,21
3066,51,109,18
3067,54,94,24
3068,44,109,18
3069,40,128,16
3070,52,93,18
3071,48,76,20
3072,41,87,19
3073,52,93,18
3074,46,89,21
3075,53,102,21
3076,51,100,23
3077,53,117,17
3078,40,128,18
3079,44,87,19
3080,54,114,22
3081,48,80,19
3082,59,104,18
3083,49,83,23
3084,39,75,20
3085,53,95,17
3086,46,87,21
3087,58,90,19
3088,59,108,21
3089,56,117,18
3090,51,86,18
3091,46,120,18
3092,50,90,21
3093,47,89,20
3094,46,108,25
3095,43,123,19
3096,50,90,17
3097,54,105,21
3098,51,102,23
3099,46,74,24
3100,51,100,18
3101,53,76,19
3102,51,69,22
3103,54,76,20
3104,42,94,15
3105,49,99,18
3106,46,114,19
3107,52,125,17
3108,57,92,20
3109,52,84,19
3110,53,113,21
3111,47,89,17
3112,53,95,23
3113,48,111,25
3114,47,94,21
3115,50,105,25
3116,47,71,19
3117,60,91,18
3118,52,96,18
3119,46,69,19
3120,48,86,18
3121,57,75,18
3122,44,71,19
3123,43,81,18
3124,51,126,22
3125,55,105,16
3126,40,81,22
3127,50,107,19
3128,61,100,19
3129,51,105,21
3130,54,108,19
3131,50,96,24
3132,46,125,21
3133,44,115,19
3134,46,114,21
3135,43,89,24
3136,49,97,17
3137,45,79,19
3138,51,108,18
3139,46,99,20
3140,46,96,19
3141,54,142,21
3142,53,109,22
3143,61,83,17
3144,50,74,17
3145,40,119,23
3146,45,88,16
3147,53,74,20
3148,49,86,20
3149,54,92,22
3150,54,91,17
3151,60,97,15
3152,51,92,22
3153,49,75,19
3154,47,95,19
3155,50,66,18
3156,52,86,21
3157,57,102,16
3158,52,118,20
3159,43,102,20
3160,44,73,18
3161,42,97,22
3162,55,77,20
3163,42,89,21
3164,47,75,20
3165,43,118,17
3166,56,84,19
3167,57,85,20
3168,53,111,19
3169,45,81,22
3170,48,109,22
3171,51,107,18
3172,50,113,16
3173,44,82,19
3174,48,79,15
3175,56,105,18
3176,44,92,18
3177,53,105,21
3178,48,81,21
3179,51,108,19
3180,52,83,21
3181,50,94,19
3182,57,102,19
3183,42,69,18
3184,51,115,17
3185,53,110,19
3186,49,94,18
3187,46,88,18
3188,59,86,20
3189,54,93,21
3190,55,97,21
3191,44,92,19
3192,47,108,18
3193,40,66,17
3194,51,101,18
3195,41,70,16
3196,40,87,18
3197,52,107,19
3198,42,94,19
3199,47,91,18
3200,51,94,21
3201,49,113,17
3202,53,120,19
3203,45,110,20
3204,47,96,18
3205,43,124,22
3206,42,92,18
3207,49,97,20
3208,47,99,20
3209,53,106,19
3210,44,85,20
3211,47,84,19
3212,61,118,19
3213,51,119,23
3214,52,113,20
3215,44,110,20
3216,59,103,21
3217,55,108,16
3218,57,87,22
